,id_x,name,artists,popularity,duration,type_x,explicit,date_added,date_released,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type_y,id_y,uri,track_href,analysis_url,duration_ms,time_signature
21,7i6r9KotUPQg3ozKKgEPIN,Seven Nation Army,The White Stripes,1,231733,track,False,2019-07-29T22:30:06Z,2003-04-01,0.726,0.463,0,-7.828,1,0.0799,0.00817,0.447,0.255,0.321,123.881,audio_features,7i6r9KotUPQg3ozKKgEPIN,spotify:track:7i6r9KotUPQg3ozKKgEPIN,https://api.spotify.com/v1/tracks/7i6r9KotUPQg3ozKKgEPIN,https://api.spotify.com/v1/audio-analysis/7i6r9KotUPQg3ozKKgEPIN,231733,4
22,5lN1EH25gdiqT1SFALMAq1,Gold on the Ceiling,The Black Keys,69,224333,track,False,2019-07-29T22:27:19Z,2011-12-06,0.505,0.833,0,-4.632,1,0.0475,0.00772,7.9e-05,0.069,0.565,130.121,audio_features,5lN1EH25gdiqT1SFALMAq1,spotify:track:5lN1EH25gdiqT1SFALMAq1,https://api.spotify.com/v1/tracks/5lN1EH25gdiqT1SFALMAq1,https://api.spotify.com/v1/audio-analysis/5lN1EH25gdiqT1SFALMAq1,224333,4
23,7BaDRi8gmRnOducT6KaOfc,Put a Flower in Your Pocket,The Arcs,56,235320,track,False,2019-07-29T22:26:57Z,2015-08-28,0.492,0.378,6,-9.288,0,0.037,0.00146,1.29e-05,0.111,0.428,126.402,audio_features,7BaDRi8gmRnOducT6KaOfc,spotify:track:7BaDRi8gmRnOducT6KaOfc,https://api.spotify.com/v1/tracks/7BaDRi8gmRnOducT6KaOfc,https://api.spotify.com/v1/audio-analysis/7BaDRi8gmRnOducT6KaOfc,235320,4
24,60eOMEt3WNVX1m1jmApmnX,Live in the Moment,Portugal. The Man,60,246786,track,False,2019-07-29T22:26:30Z,2017-06-16,0.546,0.583,6,-7.317,0,0.0348,0.002,0.173,0.115,0.235,128.017,audio_features,60eOMEt3WNVX1m1jmApmnX,spotify:track:60eOMEt3WNVX1m1jmApmnX,https://api.spotify.com/v1/tracks/60eOMEt3WNVX1m1jmApmnX,https://api.spotify.com/v1/audio-analysis/60eOMEt3WNVX1m1jmApmnX,246787,4
25,31hqP5oGX2M2z4ayh97jHl,Upside Down & Inside Out,OK Go,46,187866,track,False,2019-07-29T22:26:08Z,2014-10-14,0.559,0.817,0,-4.95,1,0.104,0.00222,0.0,0.87,0.546,92.544,audio_features,31hqP5oGX2M2z4ayh97jHl,spotify:track:31hqP5oGX2M2z4ayh97jHl,https://api.spotify.com/v1/tracks/31hqP5oGX2M2z4ayh97jHl,https://api.spotify.com/v1/audio-analysis/31hqP5oGX2M2z4ayh97jHl,187866,4
26,0SLOiJClXkAZluClYpke95,Get Over It,OK Go,56,196760,track,False,2019-07-29T22:25:57Z,2002-01-01,0.389,0.767,2,-4.314,1,0.149,0.00127,0.0,0.435,0.544,184.926,audio_features,0SLOiJClXkAZluClYpke95,spotify:track:0SLOiJClXkAZluClYpke95,https://api.spotify.com/v1/tracks/0SLOiJClXkAZluClYpke95,https://api.spotify.com/v1/audio-analysis/0SLOiJClXkAZluClYpke95,196760,4
27,1pHP4JeQV9wDx87D6qH9hD,Here It Goes Again,OK Go,67,179813,track,False,2019-07-29T22:25:18Z,2005-01-01,0.537,0.882,0,-2.306,1,0.0403,0.000342,9.06e-05,0.12,0.81,145.729,audio_features,1pHP4JeQV9wDx87D6qH9hD,spotify:track:1pHP4JeQV9wDx87D6qH9hD,https://api.spotify.com/v1/tracks/1pHP4JeQV9wDx87D6qH9hD,https://api.spotify.com/v1/audio-analysis/1pHP4JeQV9wDx87D6qH9hD,179813,4
28,3SUusuA9jH1v6PVwtYMbdv,Last Nite,The Strokes,65,193373,track,False,2019-07-29T22:24:22Z,2001-07-30,0.624,0.899,0,-5.709,1,0.0296,0.0221,0.000137,0.0975,0.79,104.061,audio_features,3SUusuA9jH1v6PVwtYMbdv,spotify:track:3SUusuA9jH1v6PVwtYMbdv,https://api.spotify.com/v1/tracks/3SUusuA9jH1v6PVwtYMbdv,https://api.spotify.com/v1/audio-analysis/3SUusuA9jH1v6PVwtYMbdv,193373,4
29,5cwN1htZyoWqZCc33f3RfE,The High Road,Broken Bells,65,232200,track,False,2019-07-29T22:23:36Z,2010-03-01,0.61,0.638,0,-6.574,1,0.0238,0.0672,6.59e-06,0.283,0.603,79.955,audio_features,5cwN1htZyoWqZCc33f3RfE,spotify:track:5cwN1htZyoWqZCc33f3RfE,https://api.spotify.com/v1/tracks/5cwN1htZyoWqZCc33f3RfE,https://api.spotify.com/v1/audio-analysis/5cwN1htZyoWqZCc33f3RfE,232200,4
30,4iG2gAwKXsOcijVaVXzRPW,Time to Pretend,MGMT,71,261000,track,True,2019-07-29T22:23:22Z,2007-12-14,0.438,0.94,2,-3.249,1,0.0452,8.74e-05,0.0777,0.3,0.421,100.99,audio_features,4iG2gAwKXsOcijVaVXzRPW,spotify:track:4iG2gAwKXsOcijVaVXzRPW,https://api.spotify.com/v1/tracks/4iG2gAwKXsOcijVaVXzRPW,https://api.spotify.com/v1/audio-analysis/4iG2gAwKXsOcijVaVXzRPW,261000,3
